1	TRAIN	test/tables/VBRA_lineage_merge.schema	435	8bbf3118baf7cadfd28911d859f7409decb39ec1f76e93dbabc6005484e2ef85
2	TRAIN	test/tables/VBRB_lineage_merge.schema	435	755df0e7d9a9b1e4537b60b877b12eec7b94cce4c0411bd23e9fa96695939704
3	HELDOUT	test/tables/VMID_floor.schema	429	a0fbe28b2c7d9003184c61dbd602b23f284d107caf168d7720603b509d87633f
4	TRAIN	test/tables/VNEW_array_bounded_grow.schema	572	3d4ddc7cd5d6abdfc82ec7bf468edd72adce14aefb0dc64b3a6c8571d7b7bb88
5	TRAIN	test/tables/VNEW_array_elem_widen.schema	597	b293ad982c191c9383e930d929e16d9dcb046b7e0d9e37d7001b2f666816023f
6	HELDOUT	test/tables/VNEW_array_fixed_grow.schema	1044	e8bebdcfb01267a16387dcdfc7d10fab140602761ade9108d0348ce14f187468
7	TRAIN	test/tables/VNEW_bits_grow.schema	530	605b1219bd0839b022fcf9050a9188a9f5a45a7a435abee3a6503299d74439e7
8	TRAIN	test/tables/VNEW_bytes_grow.schema	535	0805d65f9bc4f759479f888e556301bd5601618f81d2c5b9edfd54c40c8590a0
9	HELDOUT	test/tables/VNEW_constant_grow.schema	592	028c6bc4487ccacb479a2d8fca74f080bb7020c4ecbb46497f30d672f91ae692
10	TRAIN	test/tables/VNEW_enum_append.schema	787	670c4d2e73bd1dbc18820c7c2786c6c81c9a388b7a3cfa26d6096a3d704f0455
11	TRAIN	test/tables/VNEW_enum_width.schema	2426	3b32de8dca69da2b88c5a09064b520c0efff59127cd6ca78950398a0a155a31b
12	HELDOUT	test/tables/VNEW_field_append.schema	920	17a482f45d2e8d97eda3944456a986bae819d8fd82133cdbfca95515ed1713db
13	TRAIN	test/tables/VNEW_field_deprecate.schema	938	dc3db351d0b465efdeaa21555030b5454dce62fcd3020bfb29e4afd87d76c261
14	TRAIN	test/tables/VNEW_field_undeprecate.schema	784	df26202a9ea8dd196a040b30a3a1875b52b5ace629f2e2ac6765e52ad549ce7f
15	HELDOUT	test/tables/VNEW_fixed_I_grow.schema	611	260734d9576f7cad96bb7daa07f5e1625a46174750521cba50a26dc5c7ab7f01
16	TRAIN	test/tables/VNEW_flags_append.schema	787	d2b3a9fbabf8e2eab93a916041042c4eabf465428d9ba82a450ca864f304a5d1
17	TRAIN	test/tables/VNEW_float_widen.schema	534	5d2131ef36b957afa5c6681397dac77e3dfc987bfbca4e0707c1f3b64e9e55fc
18	HELDOUT	test/tables/VNEW_floor.schema	463	cb4c0d5dfd1b2f3e99ebecc0636cb89d97cd897842815408fe962c4f2e83c07a
19	TRAIN	test/tables/VNEW_int_widen.schema	591	b915c96297eb52ee34ef3d890d96cfe48e9b1e5c404da89030fe5aa34c3bd0a9
20	TRAIN	test/tables/VNEW_keyed_array_enum_append.schema	903	e17a08a3f74ce16d2d4495557ebdb7ab99670b2378ea3ed5f9f0533c503828cb
21	HELDOUT	test/tables/VNEW_lineage_merge.schema	476	cc64ff3bb54e5ec255393e4570f130e36da4ccfe86e12fb6c94aa6a5bfb77e2e
22	TRAIN	test/tables/VNEW_nested_append.schema	939	9fe7d8907dde006ffbc7c2e79e6ae2d47ceaa959cdafadbee8fdf3a860e529da
23	TRAIN	test/tables/VNEW_optional_add.schema	634	31f152b97f63fd57e141f7acf6e3b24f5f3b451e81699ad5012961b755b75064
24	HELDOUT	test/tables/VNEW_range_widen.schema	558	4a4215772a4a7bde0b1976218e83e108b6f4b5f2fc6aeb35c002626344c61c80
25	TRAIN	test/tables/VNEW_rename_without_was.schema	1051	d185a9a5ecfa3f22bb925495e7730549016031cebc6d55b1d6f32074a79cd372
26	TRAIN	test/tables/VNEW_string_grow.schema	540	ce6d7fbeb9f556df96595ee6f66c7cb5cfdedba75328c0c3ba9d7c4a5ce63a38
27	HELDOUT	test/tables/VNEW_uint_widen.schema	548	af728004c4b504f0891fbfd0a4a22d0ac0bc368da34397b67318fb8b7f04950d
28	TRAIN	test/tables/VNEW_union_append.schema	885	cdf7b9e94a7cd4e6c1c7fb14cfe62acd1882f88b75c8bfc90eb97f4ce25822a9
29	TRAIN	test/tables/VNEW_union_arm_payload_widen.schema	1064	71450e7081c4ac04513f398a0219fd608bdcb911199b082f84a6fdc563427b92
30	HELDOUT	test/tables/VNEW_wstring_grow.schema	545	762a777669229bd1bbda2f07657f98450e6a25630713254eca7955476f7980e3
31	TRAIN	test/tables/VOLD_array_bounded_grow.schema	560	b2658be31f09a5a8a2a23c1a30b6d3ffb65479f639af7763b0620d1cc5bdc2e4
32	TRAIN	test/tables/VOLD_array_elem_widen.schema	554	fee15369efe1d4e839f21154acbae11bd7d98bc6c6b733667dd0b901ff27689f
33	HELDOUT	test/tables/VOLD_array_fixed_grow.schema	1022	67b5c4941419f663c040ecd016e5da304064f5b2bde16fdc1e5181b7bfe216e4
34	TRAIN	test/tables/VOLD_bits_grow.schema	528	6e856d17eb3fe690fd7efad41a6d40a3a97b7419ec8fcc9e3b34384e541936e1
35	TRAIN	test/tables/VOLD_bytes_grow.schema	533	040d73a8df21756cbcc31ba8d231443f2445a114450f8eda1498372350029984
36	HELDOUT	test/tables/VOLD_constant_grow.schema	577	987304ca38f9438feb7f152d11dc21040f2ad720cb5929d23580d02c44750130
37	TRAIN	test/tables/VOLD_enum_append.schema	852	75bd6a0faf21d3d042ed22ddb06ae193f94511bb2437052ae6e9128a7c7cca32
38	TRAIN	test/tables/VOLD_enum_width.schema	2354	5c523d9c2e0e9efcc5aad1e92b6ae2bd55f71fda88438944924960c6cf9acda6
39	HELDOUT	test/tables/VOLD_field_append.schema	759	431915c442c71ff9da76e2da9b8024b7f84b2afb335dbeb028ca65d3a6f8c4c6
40	TRAIN	test/tables/VOLD_field_deprecate.schema	772	b529b4674f084aecfa8a16f47d605c94705e69609f81637075ec60a8efdbe976
41	TRAIN	test/tables/VOLD_field_undeprecate.schema	797	d4b80b6dee6684ac630b8988a833992d98f163a74e42606b742b54837168bc58
42	HELDOUT	test/tables/VOLD_fixed_I_grow.schema	563	69aa4cb0cce2e1505c09aece50ddaa131eed6ec52de4d2f53c9ded7a87b92ea4
43	TRAIN	test/tables/VOLD_flags_append.schema	782	6c747415d1fba85a4f30b68ac9171fa75efc98573c0b11ab6ed048e45c1ddeac
44	TRAIN	test/tables/VOLD_float_widen.schema	562	eba6f245a1ca875d965e0cd9d675bc3aaef3d782a163f004012fb551c17e9cc5
45	HELDOUT	test/tables/VOLD_floor.schema	425	dd60974ea4d8f030489b6d99a76083ae0a6fac2de63e2e1716105d99b9b331b4
46	TRAIN	test/tables/VOLD_int_widen.schema	568	256acada2d2afcfe7254cb5ba30caf0a84ddc110f00508235d71a47803f908b6
47	TRAIN	test/tables/VOLD_keyed_array_enum_append.schema	893	b0f2a0a1aacdd830895d45db583af068a66b32f204d63f3b219cf8ebf19cd552
48	HELDOUT	test/tables/VOLD_lineage_merge.schema	405	0b107d02da4d755a796806464fc1263fa8ef92ab2b06888db5bd34ea61fbad99
49	TRAIN	test/tables/VOLD_nested_append.schema	841	6a8dc76da0409d72562ae12f16cb44758efb59134b2a29e4de1416447f681edb
50	TRAIN	test/tables/VOLD_optional_add.schema	626	17895a5f3d431c11210d3531cf268d71e33713ad9ed08df9d50ee122f8794338
51	HELDOUT	test/tables/VOLD_range_widen.schema	564	963880f4b2dc27cdf117a9de1daaa8e80c3cd19255920aed8f93c38076db0bac
52	TRAIN	test/tables/VOLD_rename_without_was.schema	810	2c17ad8171ba41f887202be6fbd8997c3257f698f6c278f65fffcb9d73c18020
53	TRAIN	test/tables/VOLD_string_grow.schema	538	8ed885ca90738df6c3fb866dc5e441b153ba4b7a03947ee513c43ba72c6d8873
54	HELDOUT	test/tables/VOLD_uint_widen.schema	533	0485d9a48aa713f733c818ea75523124a3149d7f0978c07f7abe28a14b5821d6
55	TRAIN	test/tables/VOLD_union_append.schema	842	21c844f56902835d38fd2f913ed2471ff5a32a3123b966831aff6667748acce3
